id,name,prerequisite,type,categories,gold_cost,gold_gain,energy_cost,time,materials_cost,materials_gain,level,effect,activities,ratio,sell_price_per_unit,min_quantity,exchange_rate,windLevel,seedLevel,seedPool,damage,attackSpeed,advantageVs,length,boss,boss_drop,common_drop,enemy_rolls,depth_range,effectPerLevel,plots_added,total_plots,tool_required,repeatable,notes
spear_1,Spear,craft_spear_1,weapon,Spear,,,,,,,1,,,,,,,,,,10,1,armored_insects,,,,,,,,,,,,Base spear
spear_2,Spear II,craft_spear_2,weapon,Spear,,,,,,,2,,,,,,,,,,15,1,armored_insects,,,,,,,,,,,,
spear_3,Spear III,craft_spear_3,weapon,Spear,,,,,,,3,,,,,,,,,,22,1,armored_insects,,,,,,,,,,,,
spear_4,Spear IV,craft_spear_4,weapon,Spear,,,,,,,4,,,,,,,,,,32,1.1,armored_insects,,,,,,,,,,,,Requires Anvil I
spear_5,Spear V,craft_spear_5,weapon,Spear,,,,,,,5,,,,,,,,,,45,1.1,armored_insects,,,,,,,,,,,,
spear_6,Spear VI,craft_spear_6,weapon,Spear,,,,,,,6,,,,,,,,,,60,1.2,armored_insects,,,,,,,,,,,,Requires Anvil II
spear_7,Spear VII,craft_spear_7,weapon,Spear,,,,,,,7,,,,,,,,,,80,1.2,armored_insects,,,,,,,,,,,,Boss material required
spear_8,Spear VIII,craft_spear_8,weapon,Spear,,,,,,,8,,,,,,,,,,105,1.3,armored_insects,,,,,,,,,,,,Requires Mythril Anvil
spear_9,Spear IX,craft_spear_9,weapon,Spear,,,,,,,9,,,,,,,,,,135,1.3,armored_insects,,,,,,,,,,,,
spear_10,Spear X,craft_spear_10,weapon,Spear,,,,,,,10,,,,,,,,,,200,1.5,armored_insects,,,,,,,,,,,,Max level
sword_1,Sword,craft_sword_1,weapon,Sword,,,,,,,1,,,,,,,,,,12,0.9,predatory_beasts,,,,,,,,,,,,Base sword
sword_2,Sword II,craft_sword_2,weapon,Sword,,,,,,,2,,,,,,,,,,18,0.9,predatory_beasts,,,,,,,,,,,,
sword_3,Sword III,craft_sword_3,weapon,Sword,,,,,,,3,,,,,,,,,,26,0.9,predatory_beasts,,,,,,,,,,,,
sword_4,Sword IV,craft_sword_4,weapon,Sword,,,,,,,4,,,,,,,,,,36,1,predatory_beasts,,,,,,,,,,,,Requires Anvil I
sword_5,Sword V,craft_sword_5,weapon,Sword,,,,,,,5,,,,,,,,,,50,1,predatory_beasts,,,,,,,,,,,,
sword_6,Sword VI,craft_sword_6,weapon,Sword,,,,,,,6,,,,,,,,,,68,1.1,predatory_beasts,,,,,,,,,,,,Requires Anvil II
sword_7,Sword VII,craft_sword_7,weapon,Sword,,,,,,,7,,,,,,,,,,90,1.1,predatory_beasts,,,,,,,,,,,,Boss material required
sword_8,Sword VIII,craft_sword_8,weapon,Sword,,,,,,,8,,,,,,,,,,120,1.2,predatory_beasts,,,,,,,,,,,,Requires Mythril Anvil
sword_9,Sword IX,craft_sword_9,weapon,Sword,,,,,,,9,,,,,,,,,,155,1.2,predatory_beasts,,,,,,,,,,,,
sword_10,Sword X,craft_sword_10,weapon,Sword,,,,,,,10,,,,,,,,,,230,1.4,predatory_beasts,,,,,,,,,,,,Max level
bow_1,Bow,craft_bow_1,weapon,Bow,,,,,,,1,,,,,,,,,,8,1.2,flying_predators,,,,,,,,,,,,Base bow
bow_2,Bow II,craft_bow_2,weapon,Bow,,,,,,,2,,,,,,,,,,12,1.2,flying_predators,,,,,,,,,,,,
bow_3,Bow III,craft_bow_3,weapon,Bow,,,,,,,3,,,,,,,,,,18,1.2,flying_predators,,,,,,,,,,,,
bow_4,Bow IV,craft_bow_4,weapon,Bow,,,,,,,4,,,,,,,,,,26,1.3,flying_predators,,,,,,,,,,,,Requires Anvil I
bow_5,Bow V,craft_bow_5,weapon,Bow,,,,,,,5,,,,,,,,,,36,1.3,flying_predators,,,,,,,,,,,,
bow_6,Bow VI,craft_bow_6,weapon,Bow,,,,,,,6,,,,,,,,,,48,1.4,flying_predators,,,,,,,,,,,,Requires Anvil II
bow_7,Bow VII,craft_bow_7,weapon,Bow,,,,,,,7,,,,,,,,,,64,1.4,flying_predators,,,,,,,,,,,,Boss material required
bow_8,Bow VIII,craft_bow_8,weapon,Bow,,,,,,,8,,,,,,,,,,84,1.5,flying_predators,,,,,,,,,,,,Requires Mythril Anvil
bow_9,Bow IX,craft_bow_9,weapon,Bow,,,,,,,9,,,,,,,,,,108,1.5,flying_predators,,,,,,,,,,,,
bow_10,Bow X,craft_bow_10,weapon,Bow,,,,,,,10,,,,,,,,,,160,1.7,flying_predators,,,,,,,,,,,,Max level
crossbow_1,Crossbow,craft_crossbow_1,weapon,Crossbow,,,,,,,1,,,,,,,,,,15,0.7,venomous_crawlers,,,,,,,,,,,,Base crossbow
crossbow_2,Crossbow II,craft_crossbow_2,weapon,Crossbow,,,,,,,2,,,,,,,,,,22,0.7,venomous_crawlers,,,,,,,,,,,,
crossbow_3,Crossbow III,craft_crossbow_3,weapon,Crossbow,,,,,,,3,,,,,,,,,,32,0.7,venomous_crawlers,,,,,,,,,,,,
crossbow_4,Crossbow IV,craft_crossbow_4,weapon,Crossbow,,,,,,,4,,,,,,,,,,46,0.8,venomous_crawlers,,,,,,,,,,,,Requires Anvil I
crossbow_5,Crossbow V,craft_crossbow_5,weapon,Crossbow,,,,,,,5,,,,,,,,,,64,0.8,venomous_crawlers,,,,,,,,,,,,
crossbow_6,Crossbow VI,craft_crossbow_6,weapon,Crossbow,,,,,,,6,,,,,,,,,,86,0.9,venomous_crawlers,,,,,,,,,,,,Requires Anvil II
