id,name,prerequisite,type,categories,gold_cost,gold_gain,energy_cost,time,materials_cost,materials_gain,level,effect,activities,ratio,sell_price_per_unit,min_quantity,exchange_rate,windLevel,seedLevel,seedPool,damage,attackSpeed,advantageVs,length,boss,boss_drop,common_drop,enemy_rolls,depth_range,effectPerLevel,plots_added,total_plots,tool_required,repeatable,notes
blueprint_storage_shed_1,Storage Shed I Blueprint,,town,energy_storage,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy cap 50->150
blueprint_storage_shed_2,Storage Shed II Blueprint,storage_shed_1,town,energy_storage,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy cap 150->500
blueprint_storage_shed_3,Storage Shed III Blueprint,storage_shed_2;homestead_deed,town,energy_storage,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy cap 500->1500
blueprint_storage_barn_1,Storage Barn I Blueprint,storage_shed_3;homestead_deed,town,energy_storage,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy cap 1500->6000
blueprint_storage_barn_2,Storage Barn II Blueprint,storage_barn_1;manor_grounds_deed,town,energy_storage,20000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy cap 6000->20000
blueprint_storage_silo,Storage Silo Blueprint,storage_barn_2;great_estate_deed,town,energy_storage,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy cap 20000->100000
blueprint_well_pump_1,Well Pump I Blueprint,,town,pump,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water/crank 2->4
blueprint_well_pump_2,Well Pump II Blueprint,well_pump_1,town,pump,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water/crank 4->8
blueprint_well_pump_3,Well Pump III Blueprint,well_pump_2;homestead_deed,town,pump,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water/crank 8->15
blueprint_steam_pump,Steam Pump Blueprint,well_pump_3;homestead_deed,town,pump,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water/crank 15->30
blueprint_crystal_pump,Crystal Pump Blueprint,steam_pump;manor_grounds_deed,town,pump,25000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water/crank 30->60
blueprint_water_tank_1,Water Tank I Blueprint,,town,water_storage,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Water cap 20->60
