id,name,prerequisite,type,categories,gold_cost,gold_gain,energy_cost,time,materials_cost,materials_gain,level,effect,activities,ratio,sell_price_per_unit,min_quantity,exchange_rate,windLevel,seedLevel,seedPool,damage,attackSpeed,advantageVs,length,boss,boss_drop,common_drop,enemy_rolls,depth_range,effectPerLevel,plots_added,total_plots,tool_required,repeatable,notes
build_tower_reach_1,Build Tower Reach 1,,tower,,,,0,,,,1,,,,,,,,0,0-1,,,,,,,,,,,,,,FALSE,Ground
build_tower_reach_2,Build Tower Reach 2,blueprint_tower_reach_2,tower,,,,50,,wood:10,,2,,,,,,,,1,0-2,,,,,,,,,,,,,,FALSE,Breeze
build_tower_reach_3,Build Tower Reach 3,blueprint_tower_reach_3,tower,,,,200,,wood:15;copper:5,,3,,,,,,,,2,0-3,,,,,,,,,,,,,,FALSE,Gust
build_tower_reach_4,Build Tower Reach 4,blueprint_tower_reach_4,tower,,,,1000,,wood:20;iron:10,,4,,,,,,,,3,0-4,,,,,,,,,,,,,,FALSE,Gale
build_tower_reach_5,Build Tower Reach 5,blueprint_tower_reach_5,tower,,,,5000,,silver:5,,5,,,,,,,,4,0-5,,,,,,,,,,,,,,FALSE,Jet Stream
build_tower_reach_6,Build Tower Reach 6,blueprint_tower_reach_6,tower,,,,20000,,crystal:3,,6,,,,,,,,5,0-6,,,,,,,,,,,,,,FALSE,Cloud Layer
build_tower_reach_7,Build Tower Reach 7,blueprint_tower_reach_7,tower,,,,100000,,mythril:2,,7,,,,,,,,6,0-7,,,,,,,,,,,,,,FALSE,Stratosphere
build_tower_reach_8,Build Tower Reach 8,blueprint_tower_reach_8,tower,,,,400000,,mythril:3,,8,,,,,,,,7,0-8,,,,,,,,,,,,,,FALSE,Mesosphere
build_tower_reach_9,Build Tower Reach 9,blueprint_tower_reach_9,tower,,,,1500000,,obsidian:1,,9,,,,,,,,8,0-9,,,,,,,,,,,,,,FALSE,Thermosphere
build_tower_reach_10,Build Tower Reach 10,blueprint_tower_reach_10,tower,,,,5000000,,obsidian:2,,10,,,,,,,,9,0-9,,,,,,,,,,,,,,FALSE,Exosphere
build_tower_reach_11,Build Tower Reach 11,blueprint_tower_reach_11,tower,,,,15000000,,obsidian:3,,11,,,,,,,,,,,,,,,,,,,,,,,FALSE,Low Orbit
