id,name,prerequisite,type,categories,gold_cost,gold_gain,energy_cost,time,materials_cost,materials_gain,level,effect,activities,ratio,sell_price_per_unit,min_quantity,exchange_rate,windLevel,seedLevel,seedPool,damage,attackSpeed,advantageVs,length,boss,boss_drop,common_drop,enemy_rolls,depth_range,effectPerLevel,plots_added,total_plots,tool_required,repeatable,notes
craft_hoe,Craft Hoe,blueprint_hoe,farm_tool,Hoe,,,20,5,Stone x5;Wood x3,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Base tool
craft_hammer,Craft Hammer,blueprint_hammer,farm_tool,Hammer,,,40,8,Stone x8;Wood x5,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Base tool
craft_axe,Craft Axe,blueprint_axe,farm_tool,Axe,,,100,10,Iron x5;Wood x8,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Base tool
craft_shovel,Craft Shovel,blueprint_shovel,farm_tool,Shovel,,,100,10,Copper x3;Wood x5,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Base tool
craft_pickaxe_1,Craft Pickaxe I,blueprint_pickaxe_1,mining_tool,Pickaxe,,,30,10,Copper x5;Wood x5,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Base pickaxe
craft_pickaxe_2,Craft Pickaxe II,blueprint_pickaxe_2,mining_tool,Pickaxe,,,150,15,Iron x5;Stone x8,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Iron tier
craft_pickaxe_3,Craft Pickaxe III,blueprint_pickaxe_3;anvil_2,mining_tool,Pickaxe,,,750,25,Silver x3;Iron x10,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Silver tier
craft_watering_can_2,Craft Watering Can II,anvil_1,farm_tool,Watering Can,,,50,5,Copper x5;Wood x3,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Holds more water
craft_hoe_plus,Craft Hoe+,blueprint_hoe_plus;anvil_1,farm_tool,Hoe,,,200,15,Iron x10;Wood x5;Pine Resin x1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Plus tier
craft_hammer_plus,Craft Hammer+,blueprint_hammer_plus;anvil_1,farm_tool,Hammer,,,300,20,Iron x8;Stone x10;Shadow Bark x1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Plus tier
craft_axe_plus,Craft Axe+,blueprint_axe_plus;anvil_2,farm_tool,Axe,,,500,25,Silver x5;Wood x10;Mountain Stone x1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Plus tier
craft_shovel_plus,Craft Shovel+,blueprint_shovel_plus;anvil_2,farm_tool,Shovel,,,500,20,Iron x8;Silver x2;Shadow Bark x1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Plus tier
craft_crystal_pick,Craft Crystal Pick,blueprint_crystal_pick;mythril_anvil,mining_tool,Pickaxe,,,3000,40,Crystal x2;Silver x5;Cave Crystal x2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Crystal tier
craft_sprinkler_can,Craft Sprinkler Can,watering_can_2;furnace_2,farm_tool,Watering Can,,,400,20,Silver x3;Copper x10;Pine Resin x1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"Holds more water, Water 2 Plots"
craft_terra_former,Craft Terra Former,blueprint_terra_former;mythril_anvil,farm_tool,Hoe,,,2000,45,Crystal x2;Silver x10;Mountain Stone x2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Master hoe
craft_stone_breaker,Craft Stone Breaker,blueprint_stone_breaker;mythril_anvil,farm_tool,Hammer,,,3000,50,Crystal x3;Mythril x1;Frozen Heart x1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Master hammer
craft_world_splitter,Craft World Splitter,blueprint_world_splitter;mythril_anvil,farm_tool,Axe,,,8000,50,Crystal x3;Enchanted Wood x1;Frozen Heart x2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Master axe
craft_earth_mover,Craft Earth Mover,blueprint_earth_mover;crystal_furnace,farm_tool,Shovel,,,5000,45,Crystal x2;Mythril x1;Cave Crystal x3,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Master shovel
craft_abyss_seeker,Craft Abyss Seeker,blueprint_abyss_seeker;crystal_furnace,mining_tool,Pickaxe,,,15000,60,Mythril x1;Crystal x3;Molten Core x2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Master pickaxe
craft_rain_bringer,Craft Rain Bringer,sprinkler_can;crystal_furnace,farm_tool,Watering Can,,,2000,30,Crystal x1;Silver x20;Frozen Heart x1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,"Holds more water, Water 4 Plots"
craft_spear_1,Craft Spear I,blueprint_spear_1,weapon,Spear,,,100,10,Wood x5;Stone x3,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Level 1
craft_spear_2,Craft Spear II,blueprint_spear_2,weapon,Spear,,,150,12,Wood x8;Copper x5,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Level 2
craft_spear_3,Craft Spear III,blueprint_spear_3,weapon,Spear,,,200,15,Iron x10,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Level 3
craft_spear_4,Craft Spear IV,blueprint_spear_4;anvil_1,weapon,Spear,,,300,18,Iron x15;Silver x5,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Level 4
craft_spear_5,Craft Spear V,blueprint_spear_5,weapon,Spear,,,500,20,Silver x8,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Level 5
craft_spear_6,Craft Spear VI,blueprint_spear_6;anvil_2,weapon,Spear,,,1000,25,Crystal x3,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Level 6
craft_spear_7,Craft Spear VII,blueprint_spear_7,weapon,Spear,,,2000,30,Crystal x5;Pine Resin x1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Level 7
craft_spear_8,Craft Spear VIII,blueprint_spear_8;mythril_anvil,weapon,Spear,,,5000,35,Mythril x2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Level 8
craft_spear_9,Craft Spear IX,blueprint_spear_9,weapon,Spear,,,10000,40,Mythril x3;Frozen Heart x1,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Level 9
craft_spear_10,Craft Spear X,blueprint_spear_10,weapon,Spear,,,20000,50,Obsidian x1;Molten Core x2,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,Level 10
